,name,workCity,workType,workingExp,companySize,education,jobSummary,companyName,salaryReal,recruitNumber,property,is_duplicate_with_previous
0,数据分析,乌兰察布,全职,3-5年,1000-9999人,本科,岗位职责：1、协助本部门完成数据整理、分析与利用，及时提供信息支持，定期追踪业绩及其他关键业务指标情况，洞察业务动作，提供决策基础；2、编报各类统计数据分析报表，整合汇总、综合分析，按时为上级领导提供可行性报告；3、负责常规定期数据报告的整理和评估，向各相关部门推送报告，并沟通问题点和解决方案；4、上级领导交办的其它工作。任职要求：1、35岁以下，大学本科及以上学历，计算机、统计学、数学等相关专业...,三爱富公司,0-0,0,国企,False
1,数据分析师（校招）,上海,全职,无经验,100-299人,硕士,岗位介绍1、负责项目的需求调研、数据分析、商业分析和数据挖掘模型等；2、通过统计和数据挖掘算法优化经营效果，向决策层提供战略决策数据支持，规范化数据分析流程；3、跟踪业务/重点项目的发展变化，对业务经营发展状态进行监控分析，提出策略建议报告；4、负责监控各业务线执行情况，推进经营分析相关事项的落地；5、完成领导交办的临时性工作。岗位要求1、硕士研究生及以上学历，大数据、数据分析、数学、统计学等相关...,交银金融科技有限公司,11000-12000,0,国企,False
2,数据分析,成都,全职,无经验,100-299人,本科,岗位职责：1、数据分析：基于海量数据，运用数据挖掘、数据分析理论对游戏日常运营中各种数据进行分析；2、数据测试：提供相对独立的测试指标，加快游戏的测试过程；3、数据更正：持续跟踪产品数据，监测产品数据发展态势，为产品指标异常提供科学解读，及时发现并定位问题；4、机器学习：较为熟悉机器学习算法，能够完成数据建模和训练。岗位要求1、本科及其以上学历，数学、统计学，计算机相关专业；2、熟练使用SQL语句...,Metajoy,0-0,1,合资,False
3,数据/业务分析师,香港,全职,5-10年,1000-9999人,本科,"- 与业务部门合作, 了解市场和客户需求, 进行深入数据分析- 利用新数据点和模型进行分析, 并不断探索数据科学解决方案, 支持业务增长- 执行数据视觉化, 把复杂数据制作成容易理解的图表或报表为业务部门提供有用信息以辅助决策支持业务发展",星展银行(香港)有限公司,0-0,4,银行,False
4,数据分析岗 （2024届）,广州,全职,不限,1000-9999人,本科,任职要求：1. 本科及以上学历，数学、统计学、计算机等相关专业；2. 熟练掌握Excel、SQL，喜欢从数据中发现规律，学习能力强，对新事物保有好奇心，并能快速适应新环境，抗压能力强；3. 有良好的沟通能力，能与他人合作，共同完成目标。岗位职责：1. 搭建业务关键指标体系，并及时监控指标，针对指标异动，分析定位问题；2. 深入参与业务重点项目，提供数据分析洞察，识别关键的问题与机会点，推动分析建议...,快尚时装（广州）有限公司,10000-20000,2,民营,False
5,数据分析师,徐州,全职,不限,,本科,本科及以上学历，具有相关专业优先。,非凸智能科技（徐州）有限公司,4001-6000,10,其它,False
6,数据分析岗,深圳,全职,不限,,本科,任职资格：1、本科及以上学历，经济学、统计学相关专业优先；2、具备良好的数据分析能力、市场研究能力、沟通协调能力，具备强烈的责任意识。工作职责：1、日常数据收集与统计；2、撰写经营分析报告；3、开展专项调研。,华侨城集团有限公司,0-0,0,国企,False
7,数据分析工程师,成都,全职,无经验,20人以下,硕士,职位描述：复杂科学数据的分析与处理，能在已有技术框架下进行数据分析处理，能通过阅读文献进行新技术思路探索。任职要求：1. 全日制硕士及以上学历，理工科教育背景出身，理工科跨生物医学领域背景者优先；具备良好的数学基础，参加过数学建模比赛者优先；2. 熟练掌握数理统计、机器学习基本原理，具备基本的数学建模能力；3. 熟练掌握python和matlab，具有良好编程风格和文档编写习惯；4. 具备优秀的英...,万象光形,0-0,3,民营,False
8,数据分析师,北京,全职,不限,20人以下,博士,1.负责人工智能技术与桥梁健康监测、智慧养护技术融合研发工作；2.解决系统开发工程师、算法工程师遇到的相关专业方面的技术瓶颈；3.配合结构工程师、算法工程师梳理相关系统需求；4.承担相关系统研发过程中的算法测试工作；5.完成领导交待的其他任务。,天道人力资源顾问有限公司,0-0,0,外商独资,False
9,采购数据分析员,北京,全职,不限,10000人以上,本科,岗位职责：1.授权管理。根据业务需要，对采购员授权进行申请、系统维护及调整；根据供应商纸质授权进行系统维护。2.物价管理。依据审批结果及相关文件进行物价维护及修改，认真执行国家和上级有关部门规定的物价政策；负责收集有关物价信息和资料，并对纸质文件整理归档。3.合同协议管理。根据公司合同管理相关制度审核合同、协议规范性并整理归档。4.折扣折让管理。解读供应商协议，负责在系统中维护返利政策及明细，并生...,华润医药,8001-10000,0,国企,False
